byte	inplace	SIMD16	SIMD8	SIMD4	SIMD2	SIMD1
0	0	0	0	0	0	0
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	0	0	0	0
4	0	0	0	0	0	0
5	0	0	0	0	0	0
6	0	0	0	0	0	0
7	0	0	0	0	0	0
8	0	0	0	0	0	0
63	0	0	0	0	0	0
64	0	0	0	0	0	0
65	1	0	0	0	0	0
127	1	0	0	0	0	0
128	1	0	0	0	0	0
129	2	0	0	0	0	0
255	3	0	0	0	0	0
256	3	0	0	0	0	0
257	4	0	0	0	0	0
512	7	0	0	0	0	0
513	8	0	0	0	0	0
1023	15	0	0	0	0	0
1024	15	0	0	0	0	0
1025	17	0	0	0	0	0
2048	0	1	1	1	1	2
2049	2	1	1	1	1	2
3072	17	1	1	1	1	2
3073	19	1	1	1	1	2
4096	0	2	2	2	3	5
4097	2	2	2	2	3	5
5120	17	2	2	2	3	5
5121	19	2	2	2	3	5
6144	2	3	3	3	4	7
6145	4	3	3	3	4	7
7168	19	3	3	3	4	7
7169	21	3	3	3	4	7
8192	0	3	3	4	7	11
8193	2	3	3	4	7	11
16384	0	4	5	8	15	23
16385	2	4	5	8	15	23
31744	23	10	11	15	26	41
31745	25	10	11	15	26	41
65536	0	10	17	32	63	95
65537	2	10	17	32	63	95
102400	4	18	28	50	97	147
102401	6	18	28	50	97	147
131072	0	18	33	64	127	191
131073	2	18	33	64	127	191
262144	0	34	65	128	255	383
262145	2	34	65	128	255	383
524288	0	66	129	256	511	767
524289	2	66	129	256	511	767
1048576	0	130	257	512	1023	1535
1048577	2	130	257	512	1023	1535
2097152	0	258	513	1024	2047	3071
2097153	2	258	513	1024	2047	3071
