input j; compress_in_place;hash_many;M11;M116;M21;M216;M41;M416;M81;M816;M161;M1616;ipCS;ipCE;ipPARENT;ipROOT;ipKH;ipDKC;ipDKM;
      0;          0;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       0; 0; 0; 0; 0; 0; 0;
      1;          2;   1;          0;   0;   0;   1;   0;   0;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      2;          2;   2;          0;   0;   1;   0;   0;   1;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      3;          4;   3;          0;   0;   1;   1;   0;   1;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      4;          2;   3;          0;   0;   1;   0;   1;   0;   0;   1;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      5;          4;   4;          0;   0;   1;   1;   1;   0;   0;   1;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      6;          4;   5;          0;   0;   2;   0;   1;   1;   0;   1;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      7;          6;   6;          0;   0;   2;   1;   1;   1;   0;   1;   0;   0;       1; 1; 5; 0; 0; 0; 0;
      8;          2;   4;          0;   0;   1;   0;   1;   0;   1;   0;   0;   1;       1; 1; 1; 0; 0; 0; 0;
      9;          4;   5;          0;   0;   1;   1;   1;   0;   1;   0;   0;   1;       1; 1; 3; 0; 0; 0; 0;
     10;          4;   6;          0;   0;   2;   0;   1;   1;   1;   0;   0;   1;       1; 1; 3; 0; 0; 0; 0;
     11;          6;   7;          0;   0;   2;   1;   1;   1;   1;   0;   0;   1;       1; 1; 5; 0; 0; 0; 0;
     12;          4;   7;          0;   0;   2;   0;   2;   0;   1;   1;   0;   1;       1; 1; 3; 0; 0; 0; 0;
     13;          6;   8;          0;   0;   2;   1;   2;   0;   1;   1;   0;   1;       1; 1; 5; 0; 0; 0; 0;
     14;          6;   9;          0;   0;   3;   0;   2;   1;   1;   1;   0;   1;       1; 1; 5; 0; 0; 0; 0;
     15;          8;  10;          0;   0;   3;   1;   2;   1;   1;   1;   0;   1;       1; 1; 7; 0; 0; 0; 0;
     16;          2;   6;          0;   0;   1;   0;   1;   0;   1;   0;   1;   2;       1; 1; 1; 0; 0; 0; 0;
     17;          4;   7;          0;   0;   1;   1;   1;   0;   1;   0;   1;   2;       1; 1; 3; 0; 0; 0; 0;
     18;          4;   8;          0;   0;   2;   0;   1;   1;   1;   0;   1;   2;       1; 1; 3; 0; 0; 0; 0;
     19;          6;   9;          0;   0;   2;   1;   1;   1;   1;   0;   1;   2;       1; 1; 5; 0; 0; 0; 0;
     20;          4;   9;          0;   0;   2;   0;   2;   0;   1;   1;   1;   2;       1; 1; 3; 0; 0; 0; 0;
     21;          6;  10;          0;   0;   2;   1;   2;   0;   1;   1;   1;   2;       1; 1; 5; 0; 0; 0; 0;
     22;          6;  11;          0;   0;   3;   0;   2;   1;   1;   1;   1;   2;       1; 1; 5; 0; 0; 0; 0;
     23;          8;  12;          0;   0;   3;   1;   2;   1;   1;   1;   1;   2;       1; 1; 7; 0; 0; 0; 0;
     24;          4;  10;          0;   0;   2;   0;   2;   0;   2;   0;   1;   3;       1; 1; 3; 0; 0; 0; 0;
     25;          6;  11;          0;   0;   2;   1;   2;   0;   2;   0;   1;   3;       1; 1; 5; 0; 0; 0; 0;
     26;          6;  12;          0;   0;   3;   0;   2;   1;   2;   0;   1;   3;       1; 1; 5; 0; 0; 0; 0;
     27;          8;  13;          0;   0;   3;   1;   2;   1;   2;   0;   1;   3;       1; 1; 7; 0; 0; 0; 0;
     28;          6;  13;          0;   0;   3;   0;   3;   0;   2;   1;   1;   3;       1; 1; 5; 0; 0; 0; 0;
     29;          8;  14;          0;   0;   3;   1;   3;   0;   2;   1;   1;   3;       1; 1; 7; 0; 0; 0; 0;
     30;          8;  15;          0;   0;   4;   0;   3;   1;   2;   1;   1;   3;       1; 1; 7; 0; 0; 0; 0;
     31;         10;  16;          0;   0;   4;   1;   3;   1;   2;   1;   1;   3;       1; 1; 9; 0; 0; 0; 0;
     32;          2;  10;          0;   0;   1;   0;   1;   0;   1;   0;   3;   4;       1; 1; 1; 0; 0; 0; 0;
     33;          4;  11;          0;   0;   1;   1;   1;   0;   1;   0;   3;   4;       1; 1; 3; 0; 0; 0; 0;
     34;          4;  12;          0;   0;   2;   0;   1;   1;   1;   0;   3;   4;       1; 1; 3; 0; 0; 0; 0;
     35;          6;  13;          0;   0;   2;   1;   1;   1;   1;   0;   3;   4;       1; 1; 5; 0; 0; 0; 0;
     36;          4;  13;          0;   0;   2;   0;   2;   0;   1;   1;   3;   4;       1; 1; 3; 0; 0; 0; 0;
     37;          6;  14;          0;   0;   2;   1;   2;   0;   1;   1;   3;   4;       1; 1; 5; 0; 0; 0; 0;
     38;          6;  15;          0;   0;   3;   0;   2;   1;   1;   1;   3;   4;       1; 1; 5; 0; 0; 0; 0;
     39;          8;  16;          0;   0;   3;   1;   2;   1;   1;   1;   3;   4;       1; 1; 7; 0; 0; 0; 0;
     40;          4;  14;          0;   0;   2;   0;   2;   0;   2;   0;   3;   5;       1; 1; 3; 0; 0; 0; 0;
     41;          6;  15;          0;   0;   2;   1;   2;   0;   2;   0;   3;   5;       1; 1; 5; 0; 0; 0; 0;
     42;          6;  16;          0;   0;   3;   0;   2;   1;   2;   0;   3;   5;       1; 1; 5; 0; 0; 0; 0;
     43;          8;  17;          0;   0;   3;   1;   2;   1;   2;   0;   3;   5;       1; 1; 7; 0; 0; 0; 0;
     44;          6;  17;          0;   0;   3;   0;   3;   0;   2;   1;   3;   5;       1; 1; 5; 0; 0; 0; 0;
