input Bytes; compress_in_place; compress_xof;hash_many;
00000;          0;      1;      0;
00001;          0;      1;      0;
00002;          0;      1;      0;
00003;          0;      1;      0;
00004;          0;      1;      0;
00005;          0;      1;      0;
00006;          0;      1;      0;
00007;          0;      1;      0;
00008;          0;      1;      0;
00063;          0;      1;      0;
00064;          0;      1;      0;
00065;          1;      1;      0;
00127;          1;      1;      0;
00128;          1;      1;      0;
00129;          2;      1;      0;
00255;          3;      1;      0;
00256;          3;      1;      0;
00257;          4;      1;      0;
00512;          7;      1;      0;
00513;          8;      1;      0;
01023;          15;     1;      0;
01024;          15;     1;      0;
01025;          17;     1;      0;
02048;          0;      1;      1;
02049;          2;      1;      1;
03072;          17;     1;      1;
03073;          19;     1;      1;
04096;          0;      1;      2;
04097;          2;      1;      2;
05120;          17;     1;      2;
05121;          19;     1;      2;
06144;          2;      1;      3;
06145;          4;      1;      3;
07168;          19;     1;      3;
07169;          21;     1;      3;
08192;          0;      1;      3;
08193;          2;      1;      3;
16384;          0;      1;      4;
16385;          2;      1;      4;
31744;          23;     1;      10;
31745;          25;     1;      10;
65536;          0;      1;      10;
65537;          2;      1;      10;
102400;         4;      1;      18;
102401;         6;      1;      18;
131072;         0;      1;      18;
131073;         2;      1;      18;
262144;         0;      1;      34;
262145;         2;      1;      34;
524288;         0;      1;      66;
524289;         2;      1;      66;
1048576;                0;      1;      130;
1048577;                2;      1;      130;
2097152;                0;      1;      258;
2097153;                2;      1;      258;
