input Block;  SIMD16(ms);  SIMD8(ms);SIMD4(ms);SIMD2(ms);SIMD1(ms);
      0;        0.010000;   0.010000; 0.010000; 0.010000; 0.010000;
      1;        0.030000;   0.010000; 0.010000; 0.020000; 0.020000;
      2;        0.030000;   0.020000; 0.020000; 0.020000; 0.010000;
      3;        0.030000;   0.010000; 0.010000; 0.020000; 0.020000;
      4;        0.030000;   0.020000; 0.020000; 0.030000; 0.020000;
      5;        0.040000;   0.020000; 0.020000; 0.020000; 0.010000;
      6;        0.030000;   0.010000; 0.010000; 0.020000; 0.020000;
      7;        0.030000;   0.020000; 0.020000; 0.020000; 0.020000;
      8;        0.040000;   0.020000; 0.030000; 0.040000; 0.020000;
      9;        0.040000;   0.030000; 0.020000; 0.030000; 0.020000;
     10;        0.040000;   0.030000; 0.030000; 0.040000; 0.030000;
     11;        0.040000;   0.020000; 0.020000; 0.040000; 0.020000;
     12;        0.040000;   0.030000; 0.030000; 0.040000; 0.030000;
     13;        0.050000;   0.030000; 0.030000; 0.040000; 0.030000;
     14;        0.040000;   0.030000; 0.030000; 0.040000; 0.030000;
     15;        0.050000;   0.030000; 0.040000; 0.050000; 0.030000;
     16;        0.050000;   0.040000; 0.030000; 0.050000; 0.040000;
     17;        0.080000;   0.060000; 0.060000; 0.060000; 0.050000;
     18;        0.080000;   0.070000; 0.060000; 0.080000; 0.060000;
     19;        0.070000;   0.080000; 0.060000; 0.070000; 0.060000;
     20;        0.070000;   0.060000; 0.060000; 0.080000; 0.060000;
     21;        0.080000;   0.070000; 0.070000; 0.090000; 0.080000;
     22;        0.090000;   0.070000; 0.070000; 0.080000; 0.070000;
     23;        0.080000;   0.070000; 0.070000; 0.080000; 0.070000;
     24;        0.110000;   0.070000; 0.070000; 0.080000; 0.070000;
     25;        0.080000;   0.080000; 0.080000; 0.090000; 0.070000;
     26;        0.100000;   0.080000; 0.080000; 0.090000; 0.070000;
     27;        0.080000;   0.080000; 0.080000; 0.090000; 0.080000;
     28;        0.090000;   0.080000; 0.080000; 0.090000; 0.090000;
     29;        0.110000;   0.090000; 0.080000; 0.090000; 0.080000;
     30;        0.090000;   0.090000; 0.100000; 0.090000; 0.090000;
     31;        0.090000;   0.090000; 0.090000; 0.100000; 0.080000;
     32;        0.030000;   0.040000; 0.030000; 0.040000; 0.040000;
     33;        0.070000;   0.050000; 0.060000; 0.070000; 0.060000;
     34;        0.070000;   0.070000; 0.060000; 0.070000; 0.070000;
     35;        0.070000;   0.070000; 0.060000; 0.070000; 0.070000;
     36;        0.070000;   0.060000; 0.060000; 0.070000; 0.070000;
     37;        0.080000;   0.060000; 0.060000; 0.080000; 0.080000;
     38;        0.080000;   0.060000; 0.060000; 0.070000; 0.070000;
     39;        0.070000;   0.070000; 0.060000; 0.080000; 0.080000;
     40;        0.080000;   0.070000; 0.060000; 0.080000; 0.070000;
     41;        0.080000;   0.070000; 0.070000; 0.090000; 0.080000;
     42;        0.090000;   0.080000; 0.070000; 0.080000; 0.070000;
     43;        0.080000;   0.070000; 0.060000; 0.080000; 0.090000;
     44;        0.090000;   0.070000; 0.070000; 0.090000; 0.080000;
     45;        0.080000;   0.070000; 0.070000; 0.090000; 0.080000;
     46;        0.090000;   0.080000; 0.090000; 0.090000; 0.080000;
     47;        0.090000;   0.080000; 0.080000; 0.090000; 0.080000;
     48;        0.090000;   0.080000; 0.080000; 0.090000; 0.090000;
     49;        0.100000;   0.090000; 0.100000; 0.100000; 0.100000;
     50;        0.110000;   0.100000; 0.100000; 0.100000; 0.100000;
     51;        0.110000;   0.100000; 0.110000; 0.110000; 0.110000;
     52;        0.110000;   0.090000; 0.100000; 0.110000; 0.110000;
     53;        0.120000;   0.110000; 0.100000; 0.120000; 0.110000;
     54;        0.130000;   0.110000; 0.100000; 0.120000; 0.120000;
     55;        0.130000;   0.110000; 0.110000; 0.120000; 0.120000;
     56;        0.130000;   0.120000; 0.120000; 0.120000; 0.130000;
     57;        0.130000;   0.120000; 0.120000; 0.130000; 0.110000;
     58;        0.140000;   0.130000; 0.130000; 0.130000; 0.130000;
     59;        0.140000;   0.120000; 0.130000; 0.130000; 0.130000;
     60;        0.140000;   0.130000; 0.120000; 0.140000; 0.150000;
     61;        0.150000;   0.140000; 0.140000; 0.140000; 0.120000;
     62;        0.150000;   0.130000; 0.130000; 0.130000; 0.140000;
     63;        0.150000;   0.120000; 0.140000; 0.140000; 0.140000;
     64;        0.040000;   0.040000; 0.040000; 0.040000; 0.060000;
     65;        0.080000;   0.070000; 0.060000; 0.070000; 0.090000;
     66;        0.070000;   0.060000; 0.070000; 0.070000; 0.090000;
     67;        0.080000;   0.060000; 0.060000; 0.080000; 0.090000;
     68;        0.080000;   0.070000; 0.070000; 0.080000; 0.080000;
     69;        0.080000;   0.060000; 0.060000; 0.090000; 0.090000;
     70;        0.080000;   0.070000; 0.070000; 0.090000; 0.080000;
     71;        0.080000;   0.070000; 0.060000; 0.090000; 0.090000;
     72;        0.090000;   0.070000; 0.080000; 0.100000; 0.090000;
     73;        0.080000;   0.070000; 0.070000; 0.090000; 0.090000;
     74;        0.090000;   0.070000; 0.070000; 0.090000; 0.100000;
     75;        0.080000;   0.070000; 0.080000; 0.100000; 0.100000;
     76;        0.080000;   0.070000; 0.070000; 0.100000; 0.090000;
     77;        0.090000;   0.080000; 0.090000; 0.100000; 0.090000;
     78;        0.100000;   0.080000; 0.080000; 0.100000; 0.100000;
     79;        0.090000;   0.080000; 0.080000; 0.100000; 0.100000;
     80;        0.100000;   0.080000; 0.080000; 0.100000; 0.100000;
