input Block; 6900HX(us);
      0;   0.100000;
      1;   0.100000;
      2;   0.200000;
      3;   0.300000;
      4;   0.300000;
      5;   0.600000;
      6;   0.600000;
      7;   0.600000;
      8;   1.000000;
      9;   0.700000;
     10;   0.800000;
     11;   0.900000;
     12;   0.900000;
     13;   1.200000;
     14;   1.300000;
     15;   1.200000;
     16;   1.200000;
     17;   1.400000;
     18;   1.600000;
     19;   1.600000;
     20;   1.600000;
     21;   1.800000;
     22;   1.800000;
     23;   1.800000;
     24;   1.900000;
     25;   2.400000;
     26;   2.100000;
     27;   2.200000;
     28;   2.300000;
     29;   2.300000;
     30;   2.400000;
     31;   2.500000;
     32;   2.600000;
     33;   2.900000;
     34;   2.800000;
     35;   3.800000;
     36;   2.900000;
     37;   3.100000;
     38;   3.100000;
     39;   3.200000;
     40;   4.100000;
     41;   3.500000;
     42;   3.500000;
     43;   4.000000;
     44;   3.600000;
     45;   4.300000;
     46;   3.700000;
     47;   4.000000;
     48;   3.900000;
     49;   4.100000;
     50;   4.400000;
     51;   4.200000;
     52;   4.300000;
     53;   4.500000;
     54;   4.400000;
     55;   4.500000;
     56;   4.700000;
     57;   4.800000;
     58;   4.800000;
     59;   4.800000;
     60;   5.000000;
     61;   5.000000;
     62;   5.100000;
     63;   5.200000;
     64;   5.300000;
     65;   5.400000;
     66;   5.500000;
     67;   5.600000;
     68;   5.500000;
     69;   5.900000;
     70;   6.000000;
     71;   5.900000;
     72;   6.100000;
     73;   6.000000;
     74;   6.000000;
     75;   6.200000;
     76;   6.200000;
     77;   6.400000;
     78;   6.500000;
     79;   6.400000;
     80;   6.600000;
     81;   7.300000;
     82;   6.800000;
     83;   6.900000;
     84;   7.100000;
     85;   7.200000;
     86;   7.000000;
     87;   7.200000;
     88;   7.200000;
     89;   7.300000;
     90;   7.300000;
     91;   7.300000;
     92;   7.500000;
     93;   7.600000;
     94;   7.700000;
     95;   8.300000;
     96;   7.700000;
     97;   8.000000;
     98;   8.000000;
     99;   8.300000;
    100;   8.200000;
    101;   8.300000;
    102;   8.400000;
    103;   8.700000;
    104;   8.500000;
    105;   8.700000;
    106;   8.800000;
    107;   9.100000;
    108;   9.000000;
    109;   8.900000;
    110;   9.000000;
    111;   9.300000;
    112;   9.100000;
    113;   9.800000;
    114;   9.800000;
    115;   9.600000;
    116;   9.700000;
    117;   10.000000;
    118;   10.200000;
    119;   9.900000;
    120;   10.000000;
    121;   9.900000;
    122;   10.900000;
    123;   10.300000;
    124;   10.300000;
    125;   10.200000;
    126;   10.400000;
    127;   10.400000;
    128;   10.400000;
    129;   10.600000;
    130;   10.600000;
    131;   10.700000;
    132;   11.300000;
    133;   10.900000;
    134;   11.300000;
    135;   11.100000;
    136;   11.200000;
    137;   11.200000;
    138;   11.300000;
    139;   11.600000;
    140;   12.000000;
    141;   12.300000;
    142;   11.700000;
    143;   12.000000;
    144;   12.600000;
    145;   12.100000;
    146;   13.000000;
